uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Fruko,icecekler,Sade Gazoz,,,,,,Fruko Gazoz Pet 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fruko-gazoz-pet-15-lt
Uludağ,icecekler,Sade Gazoz,,,,,,Uludağ Efsane Gazoz 6x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag-efsane-gazoz-6x250-ml
Uludağ,icecekler,Sade Gazoz,,,,,,Uludag  Efsane Fuji Şekersiz Gazoz 250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag--efsane-fuji-sekersiz-gazoz-250-ml
Niğde Gazoz,icecekler,Sade Gazoz,,,,,,Niğde Gazoz 6x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/nigde-gazoz-6x250-ml
Çamlıca,icecekler,Sade Gazoz,,,,,,Çamlıca Gazoz 6x200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-gazoz-6x200-ml
Sprite,icecekler,Sade Gazoz,,,,,,Sprite Şişe 6x200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sprite-sise-6x200-ml
Sprite,icecekler,Sade Gazoz,,,,,,Sprite Pet Gazoz 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sprite-pet-gazoz-15-lt
Sprite,icecekler,Sade Gazoz,,,,,,Sprite Limon Pet 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sprite-limon-pet-25-lt
Çamlıca,icecekler,Sade Gazoz,,,,,,Çamlıca Gazoz 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-gazoz-4x1-lt
Fruko,icecekler,Sade Gazoz,,,,,,Fruko Gazoz 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fruko-gazoz-4x1-lt
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta Portakal 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-portakal-1-lt
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta 500 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-500-ml
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta Portakal 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-portakal-25-lt
Schweppes,icecekler,Meyveli Gazoz,,,,,,Schweppes Mandalina Cam 250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/schweppes-mandalina-cam-250-ml
Schweppes,icecekler,Meyveli Gazoz,,,,,,Schweppes Mandalina 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/schweppes-mandalina-1-lt
Schweppes,icecekler,Meyveli Gazoz,,,,,,Schweppes Limon 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/schweppes-limon-1-lt
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-4x1-lt
Çamlıca,icecekler,Meyveli Gazoz,,,,,,Çamlıca Cam Şişe Portakal 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-cam-sise-portakal-200-ml
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta Portakal 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-portakal-15-lt
Yedigün,icecekler,Meyveli Gazoz,,,,,,Yedigün Portakal Pet 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/yedigun-portakal-pet-25-lt
Çamlıca,icecekler,Meyveli Gazoz,,,,,,Çamlıca Portakal 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-portakal-25-lt
