uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
İçim,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,İçim İçimino Çilekli Süt 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-icimino-cilekli-sut-200-ml
İçim,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,İçim İçimino Muzlu Süt 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-icimino-muzlu-sut-200-ml
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Danone Kakaolu Süt 180 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-kakaolu-sut-180-ml
Sütaş,SutveKahvalti,Uzun Ömürlü Sade Süt,,,,,,Sütaş Tam Yağlı UHT Süt 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sutas-tam-yagli-uht-sut-1-lt
İçim,SutveKahvalti,Uzun Ömürlü Sade Süt,,,,,,İçim Tam Yağlı Süt 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-tam-yagli-sut-200-ml
İçim,SutveKahvalti,Uzun Ömürlü Özellikli Süt,,,,,,İçim Light Süt 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-light-sut-1-lt
Yörükoğlu,SutveKahvalti,Uzun Ömürlü Sade Süt,,,,,,Yörükoğlu Yarım Yağlı Süt 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/yorukoglu-yarim-yagli-sut-1-lt
Danone,SutveKahvalti,Uzun Ömürlü Özellikli Süt,,,,,,Alpro Çikolatalı Soya Sütü 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/alpro-cikolatali-soya-sutu-1-lt
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Danone Kakaolu Süt 6x180 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-kakaolu-sut-6x180-ml
İçim,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Alpella Süt 6x180 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/alpella-sut-6x180-ml
Sütaş,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Sütaş Çikolatalı Süt 6x180 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sutas-cikolatali-sut-6x200-ml
Nesquik,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Nesquik Kakaolu Süt 6 Al 5 Öde 180 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/nesquik-kakaolu-sut-6-al-5-ode-180-ml
Sütaş,SutveKahvalti,Uzun Ömürlü Sade Süt,,,,,,Sütaş Süt Uht 6x200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sutas-sut-uht-6x200-ml
